	BP429B	BP360B	BP358A	BP357B	BP414B	BP432B	BP416B	BP417B	BP363B	BP362A	BP435B	BP436B	BP516A	BP355B	BP361A	BP434B	BP358B	BP466C	BP508A	BP395B	BP396B	BP588T	BP589T	BP418B	BP357A	BP419B	BP431B	BP358T	BP356A	BP390B	BP359A	BP391B	BP513A	BP363A	BP364A	BP355A	BP360T	BP355T	BP512A	BP510A	BP392B	BP506A	BP511A	BP108T	BP450C	BP507A	BP509A	BP374A	BP504A	BP361T	BP405B	BP404B	BP128A	BP491A	BP483A	BP372B	BP494A	BP401B	BP375T	BP101T	BP505A	BP369A	BP380A	BP376A	BP114T	BP103T	BP490A	BP479C	BP514A	BP415B	BP486A	BP373A	BP370B	BP500A	BP372A	BP408B	BP489A	BP126A	BP369B	BP105T	BP569T	BP485A	BP574T	BP484A	BP406B	BP407B	BP371B	BP129T	BP377A	BP371A	BP618T	BP570T	BP590T	BP575T	BP365A	BP366B	BP130A	BP397B	BP369T	BP520A	BP370A	BP127T	BP381T	BP376T	BP593T	BP363T	BP360A	BP573T	BP492A	BP370T	BP478C	BP113T	BP124A	BP112T	BP102T	BP125A	BP127A	BP129A	BP125T	BP128T	BP107T	BP124T	BP377T	BP106T	BP130T	BP585T	BP382A	BP126T	BP110T	BP487A	BP499A	BP426B	BP493A	BP421B	BP381B	BP115T	BP382T	BP380T	BP365B	BP501A	BP372T	BP371T	BP622T	BP109T	BP366A	BP457C	BP376B	BP425B	BP495A	BP381A	BP470C	BP496A	BP427B	BP473C	BP377B	BP565T	BP561T	BP111T	BP104T	BP582T	BP581T	BP365T	BP515A	BP562T	BP579T	BP619T	BP566T
BP429B	0.0	0.306113541176	0.281301003922	0.311858913725	0.236182198039	0.160946001961	0.270712588235	0.243749378431	0.315370837255	0.235970166667	0.21801992549	0.244878094118	0.274261862745	0.25646397451	0.273008358824	0.159049596078	0.26229452549	0.241883380392	0.28494642549	0.294357409804	0.282730835294	0.512458411765	0.504395315686	0.225785060784	0.291740768627	0.230852792157	0.186137290196	0.46059805098	0.317690707843	0.278707484314	0.272969452941	0.308219586275	0.342438005882	0.290901747059	0.300627478431	0.269506268627	0.773077831373	0.754172845098	0.312518745098	0.382393217647	0.292654898039	0.305867035294	0.348668907843	0.594356080392	0.247196627451	0.27502837451	0.293133617647	0.283773023529	0.299356531373	0.574034635294	0.301039858824	0.324366147059	0.278063137255	0.300175027451	0.328672723529	0.251256764706	0.286792037255	0.305727760784	0.776620084314	0.740299360784	0.377685103922	0.258503898039	0.325114319608	0.375787215686	0.737824268627	0.8018059	0.290008380392	0.255079621569	0.279789943137	0.243199447059	0.331394111765	0.301010235294	0.287485258824	0.272619013725	0.240628839216	0.319709598039	0.279077501961	0.339236545098	0.242928754902	0.762452303922	0.485713656863	0.296286209804	0.497315752941	0.296464462745	0.289125819608	0.321379409804	0.263487188235	0.636067756863	0.279580509804	0.274091411765	0.725079898039	0.513008101961	0.377289109804	0.471429492157	0.300436056863	0.247662831373	0.326399576471	0.309696752941	0.69925375098	0.3724168	0.267633652941	0.615755098039	0.689945786275	0.589899035294	0.513458396078	0.516361509804	0.400439182353	0.528048123529	0.485184323529	0.612690905882	0.306356088235	0.738469766667	0.243958127451	0.604102033333	0.786952227451	0.396135790196	0.38045995098	0.275593543137	0.623869801961	0.573972409804	0.90943835098	0.690816601961	0.601158380392	0.708147647059	0.759508117647	0.474288362745	0.340666213725	0.656784909804	0.735726041176	0.406218001961	0.300705278431	0.287357515686	0.334770423529	0.272206884314	0.357213901961	0.960306856863	0.723351578431	0.672489696078	0.291925394118	0.302017784314	0.530571019608	0.643818666667	0.821291098039	0.920415605882	0.286287176471	0.386679076471	0.360411405882	0.324036854902	0.330660101961	0.292264829412	0.306513843137	0.31167837451	0.298534664706	0.295781945098	0.28479212549	0.439158858824	0.557985347059	0.88484532549	0.725861505882	0.583392658824	0.439317256863	0.698814231373	0.264436852941	0.611859286275	0.550860141176	0.804193815686	0.605245403922
BP360B	0.306113541176	0.0	0.231013992157	0.118058568627	0.225960833333	0.285759123529	0.247398552941	0.264149217647	0.158664982353	0.208347939216	0.251976341176	0.285723235294	0.275396627451	0.196901413725	0.260830758824	0.283910368627	0.203526847059	0.22286327451	0.244275641176	0.22012724902	0.204449113725	0.512233345098	0.508900566667	0.243459194118	0.262868101961	0.25637214902	0.279751639216	0.40563012549	0.254421966667	0.24784284902	0.221125613725	0.253533456863	0.343142617647	0.256908911765	0.276824760784	0.269007311765	0.752287101961	0.747792809804	0.357922992157	0.38519444902	0.250865407843	0.342018490196	0.264737092157	0.597194652941	0.253825686275	0.262855762745	0.234873323529	0.297259588235	0.249456754902	0.531313682353	0.251127819608	0.262780496078	0.33030012549	0.291862494118	0.269358645098	0.239543015686	0.337042770588	0.266540352941	0.735003178431	0.726266905882	0.403296068627	0.36468454902	0.433902578431	0.467352890196	0.704689845098	0.783632919608	0.28970767451	0.227439052941	0.317785664706	0.20882885098	0.369925754902	0.394056839216	0.265685062745	0.256474558824	0.34811834902	0.254731409804	0.289946921569	0.401863564706	0.249487723529	0.741487307843	0.496711158824	0.341784594118	0.4969048	0.308546419608	0.274013792157	0.2463075	0.218195792157	0.626053705882	0.403002098039	0.309809768627	0.728947870588	0.504478078431	0.368545705882	0.491405021569	0.316511472549	0.239089454902	0.391755694118	0.240962498039	0.669228841176	0.379724835294	0.3006747	0.6018616	0.649623562745	0.571839082353	0.513639109804	0.471217243137	0.395395331373	0.52811677451	0.477313617647	0.625833419608	0.232509327451	0.710687323529	0.285429821569	0.593144680392	0.763121133333	0.420604115686	0.423332856863	0.341309198039	0.607423162745	0.556793837255	0.885036676471	0.683687860784	0.576846184314	0.710281301961	0.737023317647	0.478869354902	0.391174668627	0.637779345098	0.709508798039	0.443701072549	0.272130023529	0.248000076471	0.303029592157	0.263149594118	0.431940882353	0.922272123529	0.678529103922	0.646572323529	0.249133703922	0.257665298039	0.509079490196	0.638622011765	0.804660003922	0.891719468627	0.360565101961	0.281089045098	0.461431692157	0.286666196078	0.337426847059	0.407468805882	0.325057533333	0.286772405882	0.26369642549	0.28187854902	0.406281827451	0.427380341176	0.560219052941	0.853016803922	0.704350086275	0.594537156863	0.465658770588	0.67011454902	0.307965319608	0.607767541176	0.558322521569	0.791906066667	0.592916619608
BP358A	0.281301003922	0.231013992157	0.0	0.229269505882	0.224161103922	0.287066241176	0.266216223529	0.292600829412	0.213453201961	0.163303696078	0.292086686275	0.329089615686	0.28103805098	0.22192942549	0.150207888235	0.282105886275	0.146635654902	0.15874607451	0.269238896078	0.290757535294	0.276046023529	0.543609588235	0.538924107843	0.248497096078	0.227330368627	0.260666082353	0.28904425098	0.421064776471	0.155742660784	0.300601405882	0.128882209804	0.316758221569	0.365628609804	0.226518119608	0.232643819608	0.241086676471	0.749325070588	0.752802284314	0.364478003922	0.408898390196	0.315162988235	0.36819494902	0.353216919608	0.605053660784	0.285014317647	0.301264292157	0.297304484314	0.278785788235	0.314312919608	0.5194078	0.30489645098	0.353928794118	0.312693015686	0.337297929412	0.354631590196	0.258061996078	0.313648060784	0.342515192157	0.737614398039	0.723172792157	0.409811268627	0.308339411765	0.430437809804	0.454939443137	0.695603182353	0.776200888235	0.346566988235	0.269109919608	0.332857692157	0.233963686275	0.389874923529	0.378210733333	0.279305490196	0.258168409804	0.28516207451	0.327133347059	0.312594952941	0.380802584314	0.269381609804	0.728594319608	0.546493127451	0.348543127451	0.558048411765	0.343371866667	0.33460727451	0.322500880392	0.268180901961	0.630324082353	0.385382082353	0.301784443137	0.744127905882	0.542710435294	0.415512729412	0.51513877451	0.273821664706	0.294625996078	0.37578185098	0.312286082353	0.675613268627	0.42784427451	0.285180158824	0.599212505882	0.663692186275	0.606139392157	0.531898243137	0.466218266667	0.331820092157	0.543008688235	0.489591292157	0.643812478431	0.300913072549	0.705368727451	0.281943805882	0.583565456863	0.755585760784	0.405683664706	0.41617957451	0.321743601961	0.606104696078	0.553394629412	0.873858268627	0.68425324902	0.601358882353	0.717859352941	0.742959552941	0.502200531373	0.411344492157	0.648177317647	0.707181943137	0.46549315098	0.315064619608	0.280851158824	0.363498584314	0.269268539216	0.432598972549	0.920522998039	0.695133754902	0.654812582353	0.273488609804	0.301640184314	0.527514662745	0.662850337255	0.796422901961	0.888003633333	0.327529501961	0.367617821569	0.459955256863	0.349411894118	0.348596196078	0.4112711	0.349507117647	0.347544688235	0.321021303922	0.283670529412	0.40102505098	0.453778090196	0.581122072549	0.850382447059	0.705870211765	0.610562807843	0.468566488235	0.664797839216	0.307019880392	0.636709254902	0.587640996078	0.805270168627	0.618348168627
BP357B	0.311858913725	0.118058568627	0.229269505882	0.0	0.243881531373	0.296424237255	0.273139894118	0.279991303922	0.147736684314	0.220826986275	0.257735635294	0.298171952941	0.296524172549	0.220967982353	0.261717080392	0.282614945098	0.217707352941	0.231071137255	0.260345405882	0.24056855098	0.212114964706	0.516912368627	0.518092688235	0.262170601961	0.266920298039	0.275747796078	0.298515215686	0.42028607451	0.242983962745	0.262506245098	0.234261676471	0.261900594118	0.354228366667	0.279541664706	0.301214968627	0.288723523529	0.7387844	0.749858927451	0.370346411765	0.395433307843	0.253365494118	0.357746015686	0.279680237255	0.602621441176	0.271315101961	0.272299766667	0.239539982353	0.298832466667	0.261594503922	0.523625545098	0.258189760784	0.275810311765	0.335834678431	0.298800392157	0.280586852941	0.247859878431	0.361755778431	0.282727086275	0.723616264706	0.722614309804	0.414040280392	0.380826556863	0.457911496078	0.475562333333	0.690276931373	0.780557962745	0.301647482353	0.247293656863	0.34736202549	0.238950470588	0.396040754902	0.413883541176	0.271376792157	0.268838841176	0.357712027451	0.261082672549	0.303567592157	0.411738956863	0.255552186275	0.741046617647	0.518253762745	0.366960958824	0.524793486275	0.324460364706	0.294114254902	0.249807229412	0.236511717647	0.620138733333	0.416007176471	0.331810705882	0.73115332549	0.520633270588	0.367053635294	0.500068154902	0.339651264706	0.249098576471	0.393065152941	0.234588764706	0.6682093	0.40001752549	0.312845166667	0.595801129412	0.642017558824	0.576333207843	0.518731823529	0.477555698039	0.39151204902	0.537457256863	0.491273358824	0.631693258824	0.24326044902	0.700436629412	0.281195531373	0.580739001961	0.756652878431	0.415512339216	0.427439805882	0.351556570588	0.599317413725	0.553910684314	0.878426609804	0.671994268627	0.577065678431	0.707253313725	0.72864825098	0.484287268627	0.400942229412	0.639464227451	0.709674256863	0.468769417647	0.285584537255	0.251287935294	0.302572062745	0.269359688235	0.447023070588	0.914956511765	0.669825605882	0.639658276471	0.261511111765	0.273999352941	0.50573487451	0.637639023529	0.806665368627	0.882175821569	0.38414132549	0.286101217647	0.478561727451	0.30470605098	0.361245596078	0.432580527451	0.352699419608	0.310794947059	0.288403437255	0.294506811765	0.421921870588	0.442862415686	0.562686978431	0.843325698039	0.699510431373	0.606230482353	0.474405790196	0.661529117647	0.32409562549	0.611670596078	0.562328043137	0.791946105882	0.599996505882
BP414B	0.236182198039	0.225960833333	0.224161103922	0.243881531373	0.0	0.220297227451	0.175729488235	0.195613792157	0.25698227451	0.212347341176	0.226424707843	0.261125821569	0.184182707843	0.203432643137	0.232426976471	0.23928402549	0.205263613725	0.202795041176	0.216091458824	0.242127196078	0.24444344902	0.495774229412	0.484278086275	0.148487823529	0.274058354902	0.164613339216	0.220930852941	0.417031876471	0.255048858824	0.250845266667	0.200675662745	0.264824682353	0.306057356863	0.259061823529	0.263715268627	0.240044658824	0.754075492157	0.742185623529	0.320061888235	0.350779635294	0.286144962745	0.309168162745	0.302990670588	0.585569678431	0.213019464706	0.282854239216	0.23605905098	0.264271460784	0.270423235294	0.549914045098	0.282041401961	0.309906870588	0.289234205882	0.302537817647	0.311459372549	0.237724358824	0.278538462745	0.295958727451	0.757851141176	0.726374323529	0.371820588235	0.280065660784	0.412736388235	0.46145155098	0.719698360784	0.784628427451	0.309286778431	0.219587807843	0.270710572549	0.155310919608	0.346750956863	0.331719127451	0.274770370588	0.236690584314	0.253959315686	0.297697219608	0.287790762745	0.354795119608	0.237855007843	0.748325364706	0.473512580392	0.311085796078	0.479823531373	0.308066217647	0.288743794118	0.297699745098	0.216470198039	0.623336939216	0.363441860784	0.244447794118	0.715216237255	0.500888986275	0.359145064706	0.466489639216	0.241561207843	0.229130527451	0.350230096078	0.285536170588	0.681067435294	0.335374590196	0.257796929412	0.598883531373	0.679861831373	0.583038276471	0.500808633333	0.49082244902	0.352066443137	0.52070345098	0.471376941176	0.604465782353	0.273142196078	0.720450803922	0.25926847451	0.586224309804	0.77022115098	0.39870732549	0.381005086275	0.300729494118	0.607872121569	0.558015184314	0.893993709804	0.676736494118	0.587706892157	0.698843911765	0.744247107843	0.452218121569	0.401479360784	0.638213856863	0.719298305882	0.420887921569	0.283170813725	0.226967439216	0.315057664706	0.255581145098	0.433632813725	0.941568160784	0.707503372549	0.659965568627	0.232943090196	0.271786127451	0.511912954902	0.632760068627	0.804508641176	0.904003235294	0.305637880392	0.320383658824	0.449900266667	0.286671676471	0.294150515686	0.382102427451	0.326070256863	0.289068486275	0.272628913725	0.291178570588	0.378232272549	0.412620182353	0.539044345098	0.865291147059	0.709645715686	0.571618005882	0.424036129412	0.679622743137	0.225963784314	0.598263441176	0.528542323529	0.790525582353	0.585055084314
BP432B	0.160946001961	0.285759123529	0.287066241176	0.296424237255	0.220297227451	0.0	0.256937747059	0.214226439216	0.31388592549	0.248447894118	0.189397045098	0.206770872549	0.23940217451	0.237225941176	0.277706858824	0.15750855098	0.257375280392	0.245188327451	0.2526158	0.275807858824	0.27184495098	0.482567429412	0.464889835294	0.211151039216	0.278079539216	0.225490864706	0.191591570588	0.423126543137	0.33177454902	0.255260909804	0.263020352941	0.274042384314	0.277431278431	0.261115176471	0.249929096078	0.245593615686	0.754656327451	0.723850560784	0.263846460784	0.320958494118	0.291780884314	0.258931213725	0.321116282353	0.576730192157	0.229303005882	0.276361964706	0.265783580392	0.314653519608	0.277198329412	0.560285598039	0.306506892157	0.315588419608	0.256523354902	0.301844492157	0.328474258824	0.267471139216	0.275432227451	0.306028676471	0.766327478431	0.730895382353	0.316524694118	0.272057103922	0.337785882353	0.408355468627	0.725450901961	0.793669443137	0.30603937451	0.240805545098	0.273372615686	0.235929605882	0.31111905098	0.288567554902	0.312296390196	0.28673172549	0.249308476471	0.319712803922	0.277911727451	0.304620935294	0.241041341176	0.753488639216	0.455629231373	0.301392086275	0.451816229412	0.304848460784	0.278251754902	0.322009427451	0.257281645098	0.620456256863	0.270539978431	0.279127586275	0.697554084314	0.486134907843	0.345283033333	0.436446	0.281844537255	0.240385382353	0.308699845098	0.298339260784	0.65910185098	0.320366072549	0.29343065098	0.598372307843	0.684079890196	0.576016362745	0.487651166667	0.490648727451	0.381391435294	0.501939635294	0.467458894118	0.568233605882	0.296324321569	0.727060494118	0.230167552941	0.59405545098	0.782904260784	0.372615247059	0.344525086275	0.255228090196	0.607212443137	0.553376780392	0.903619168627	0.677853996078	0.5843053	0.69798277451	0.737941378431	0.439185996078	0.361147678431	0.6381701	0.724482972549	0.375227643137	0.294154570588	0.28291494902	0.317954778431	0.300398988235	0.3861249	0.954342243137	0.717335341176	0.655113533333	0.282220717647	0.316827868627	0.515165354902	0.613558570588	0.79411582549	0.914626776471	0.276896056863	0.376915117647	0.393340160784	0.31558815098	0.309007617647	0.294651933333	0.319616801961	0.296353376471	0.285629807843	0.328476786275	0.296540719608	0.416475515686	0.526291231373	0.874756747059	0.709096056863	0.548961507843	0.398665447059	0.685124758824	0.261299027451	0.58808242549	0.5187439	0.786448911765	0.578981154902
BP416B	0.270712588235	0.247398552941	0.266216223529	0.273139894118	0.175729488235	0.256937747059	0.0	0.183370111765	0.293816562745	0.237217135294	0.233686741176	0.247068913725	0.208765086275	0.197927280392	0.286325272549	0.281362392157	0.236336909804	0.239925470588	0.221875676471	0.219401190196	0.254847392157	0.521884678431	0.501485107843	0.147831813725	0.267051705882	0.156739	0.217677270588	0.453532196078	0.310521280392	0.235794009804	0.255292515686	0.272062366667	0.316569739216	0.262883860784	0.277648666667	0.225106233333	0.795195701961	0.778597998039	0.309328117647	0.360741872549	0.293108466667	0.309106560784	0.279228711765	0.620004660784	0.216657721569	0.305846268627	0.239446492157	0.292512686275	0.244087868627	0.582676639216	0.305646109804	0.306532158824	0.327975792157	0.318680980392	0.297326441176	0.265336454902	0.274833880392	0.309340133333	0.791157084314	0.765995690196	0.377643158824	0.289747490196	0.417759335294	0.475058443137	0.757602390196	0.824827852941	0.300430878431	0.226352343137	0.243588037255	0.195752290196	0.337404280392	0.325260647059	0.31156945098	0.265325676471	0.284784792157	0.319138496078	0.311993752941	0.382413333333	0.272592731373	0.784164213725	0.489583962745	0.302562684314	0.486655447059	0.305184454902	0.298436533333	0.318768817647	0.249764552941	0.661630145098	0.374412231373	0.228693282353	0.744428396078	0.531396870588	0.383716517647	0.493158743137	0.297547005882	0.253242388235	0.389283807843	0.291887529412	0.705550319608	0.314960878431	0.280522354902	0.638003945098	0.706980029412	0.608686407843	0.533718713725	0.521492298039	0.402758805882	0.554953903922	0.493103464706	0.632566815686	0.258567817647	0.759463598039	0.311212115686	0.627197292157	0.80632545098	0.442876452941	0.416711994118	0.329239809804	0.6459407	0.593637064706	0.930540688235	0.715274347059	0.62274854902	0.736264823529	0.782404956863	0.479902966667	0.406783158824	0.677177196078	0.755786817647	0.40892115098	0.259644784314	0.255720601961	0.327763729412	0.269181998039	0.448598086275	0.97130784902	0.735921833333	0.695142794118	0.266034798039	0.272634913725	0.544988462745	0.662104066667	0.841384243137	0.936692488235	0.317782756863	0.318988605882	0.464328103922	0.253562376471	0.254086807843	0.387101570588	0.333565309804	0.248944166667	0.240421935294	0.317386835294	0.40111372549	0.449812635294	0.57349555098	0.899163913725	0.748110086275	0.600460156863	0.455078068627	0.716782854902	0.185507923529	0.628511968627	0.556045537255	0.825508015686	0.603825062745
BP417B	0.243749378431	0.264149217647	0.292600829412	0.279991303922	0.195613792157	0.214226439216	0.183370111765	0.0	0.312802078431	0.265884698039	0.189925170588	0.194605947059	0.199679723529	0.218584819608	0.314262419608	0.248376982353	0.250772711765	0.251086739216	0.207369827451	0.207034988235	0.248616378431	0.469032076471	0.438919941176	0.159635917647	0.292038017647	0.172964080392	0.22405517451	0.408725331373	0.35294327451	0.232505839216	0.265278886275	0.236252231373	0.268023760784	0.273553760784	0.262357366667	0.249323639216	0.757569966667	0.728429372549	0.272084123529	0.31141574902	0.277406637255	0.277828292157	0.254001882353	0.572693596078	0.216999194118	0.29144452549	0.197418517647	0.316647292157	0.239416627451	0.557483680392	0.298728052941	0.318413180392	0.2884595	0.307451707843	0.309527337255	0.260721927451	0.276705380392	0.302033358824	0.770650333333	0.726501939216	0.333458403922	0.304788366667	0.413493458824	0.471194201961	0.732351878431	0.789274745098	0.314004272549	0.223016176471	0.245309160784	0.227437331373	0.327281807843	0.30387517451	0.318828437255	0.294141498039	0.291225390196	0.312966054902	0.28689457451	0.334915892157	0.248352035294	0.755125109804	0.430792529412	0.313963960784	0.436878413725	0.308150170588	0.28598997451	0.320621639216	0.235587103922	0.615648515686	0.351826378431	0.238716229412	0.686858017647	0.475377982353	0.334155409804	0.43164927451	0.2883498	0.228113115686	0.336091472549	0.269696884314	0.675892662745	0.246381284314	0.303115639216	0.602221194118	0.695703082353	0.583493688235	0.477406405882	0.491881770588	0.431306568627	0.507647243137	0.484498670588	0.571486107843	0.264140509804	0.725591352941	0.272560243137	0.586063819608	0.783073488235	0.400238894118	0.361856678431	0.289072678431	0.611371258824	0.552546152941	0.898116827451	0.671425227451	0.587474727451	0.692679256863	0.743499813725	0.4237526	0.404865164706	0.631906837255	0.725047858824	0.384446278431	0.263019021569	0.247504792157	0.314854598039	0.292834937255	0.447143578431	0.951235141176	0.722735168627	0.664564494118	0.257587313725	0.280936284314	0.499425005882	0.605313394118	0.795258147059	0.909164878431	0.296822366667	0.318233988235	0.458465686275	0.254785005882	0.256670754902	0.377783231373	0.338369311765	0.237391847059	0.248075015686	0.328647633333	0.379968260784	0.397647907843	0.51117892549	0.871030292157	0.710249852941	0.544569978431	0.39412712549	0.681170366667	0.214199768627	0.57798802549	0.473009566667	0.789337268627	0.541118586275
BP363B	0.315370837255	0.158664982353	0.213453201961	0.147736684314	0.25698227451	0.31388592549	0.293816562745	0.312802078431	0.0	0.214268611765	0.303363958824	0.33561635098	0.320591558824	0.230078917647	0.240125129412	0.306242201961	0.212843680392	0.219466617647	0.288464705882	0.265316898039	0.238533041176	0.562709582353	0.558522184314	0.279924992157	0.262909323529	0.291761107843	0.309714303922	0.446199182353	0.201672596078	0.280339145098	0.225989078431	0.302919682353	0.391474129412	0.264401988235	0.297455605882	0.2886942	0.769863096078	0.768625988235	0.39083584902	0.432010768627	0.277824405882	0.381537147059	0.313528670588	0.635207141176	0.275824927451	0.273000972549	0.265512556863	0.303583723529	0.285773	0.543411809804	0.274566288235	0.305987643137	0.356638413725	0.304552413725	0.310454847059	0.261915413725	0.36553254902	0.299758029412	0.740078188235	0.746997609804	0.433517976471	0.375059896078	0.460953592157	0.474230711765	0.712168298039	0.793748894118	0.308131621569	0.254843639216	0.362194705882	0.245407272549	0.403922419608	0.422927111765	0.271588790196	0.264494235294	0.348017539216	0.274565215686	0.328948194118	0.433789088235	0.278511666667	0.754381290196	0.553588047059	0.368410062745	0.557026982353	0.3294701	0.322170390196	0.261729513725	0.261951507843	0.649915652941	0.428581723529	0.341382754902	0.759334543137	0.551594566667	0.424550911765	0.53633047451	0.340178709804	0.290634260784	0.418104021569	0.264020472549	0.69157765098	0.436660880392	0.313088262745	0.625967903922	0.667242458824	0.616330711765	0.552314888235	0.487462684314	0.385462329412	0.564455	0.496193921569	0.663452331373	0.267373309804	0.723537568627	0.306999207843	0.615907521569	0.772072233333	0.449888270588	0.45710125098	0.358122133333	0.621225654902	0.58600627451	0.893439894118	0.702828121569	0.615504562745	0.738368880392	0.754309966667	0.52317705098	0.422437619608	0.670821178431	0.724503294118	0.48621392549	0.300017621569	0.275217819608	0.322803335294	0.266974988235	0.450026445098	0.931081847059	0.69191892549	0.666288058824	0.289018443137	0.289047590196	0.544005323529	0.671744017647	0.822310060784	0.899095078431	0.382185288235	0.315534301961	0.481314482353	0.332496692157	0.375422719608	0.437834658824	0.342739382353	0.333044278431	0.317125745098	0.286889547059	0.429426452941	0.470827668627	0.592473454902	0.861865013725	0.719665433333	0.634038303922	0.500045811765	0.685417601961	0.340985678431	0.639270076471	0.598672731373	0.815208696078	0.628764229412
BP362A	0.235970166667	0.208347939216	0.163303696078	0.220826986275	0.212347341176	0.248447894118	0.237217135294	0.265884698039	0.214268611765	0.0	0.257927135294	0.290697794118	0.265194947059	0.174720576471	0.192739890196	0.245929954902	0.154257272549	0.15022384902	0.240913062745	0.260949717647	0.2457267	0.545783127451	0.540083505882	0.21352214902	0.186828201961	0.223248127451	0.240303892157	0.461093641176	0.212739298039	0.26098274902	0.177353329412	0.294844011765	0.353892870588	0.211055137255	0.249088633333	0.198369039216	0.773493362745	0.766833360784	0.33543664902	0.399646184314	0.295313986275	0.330225335294	0.3185558	0.617684384314	0.257803939216	0.262948929412	0.277125603922	0.268512782353	0.2697306	0.569157072549	0.300794492157	0.329374117647	0.308988935294	0.317408672549	0.326597964706	0.245616845098	0.299225196078	0.318032641176	0.772679933333	0.754100978431	0.396738980392	0.290777707843	0.385961596078	0.417540229412	0.730052909804	0.810052086275	0.306244327451	0.227236580392	0.287133807843	0.206041703922	0.359308392157	0.337402319608	0.271879456863	0.255986690196	0.273696978431	0.316672819608	0.303317539216	0.37375277451	0.258720254902	0.764776619608	0.538056721569	0.31056585098	0.540385927451	0.302283786275	0.312413437255	0.315496705882	0.250207029412	0.65085497451	0.347969617647	0.28195764902	0.748378135294	0.547140319608	0.402685970588	0.515101439216	0.313590360784	0.263121554902	0.364556480392	0.293970445098	0.694966537255	0.406329598039	0.275437043137	0.627053766667	0.684886745098	0.609893280392	0.542582864706	0.508215515686	0.345060309804	0.552191192157	0.485999678431	0.648983809804	0.266017062745	0.73963165098	0.268663376471	0.615880133333	0.790256284314	0.414938886275	0.417504541176	0.315249301961	0.63049787451	0.582894521569	0.913563690196	0.703912341176	0.614047888235	0.734817492157	0.764934068627	0.507691909804	0.385848917647	0.671972527451	0.735938360784	0.452502811765	0.290958915686	0.281607701961	0.353061437255	0.264146443137	0.391183390196	0.955707596078	0.721207070588	0.674604031373	0.281521890196	0.284442405882	0.546286009804	0.669779927451	0.823724107843	0.921642913725	0.317222092157	0.365071031373	0.413331317647	0.325026107843	0.329214476471	0.361437886275	0.32705655098	0.318408784314	0.289090156863	0.275531284314	0.354760476471	0.464503068627	0.583004098039	0.883381931373	0.733564692157	0.618171045098	0.476307627451	0.704891096078	0.262535666667	0.637707731373	0.58589457451	0.816232723529	0.627341417647
